XDAC V1.4 Datafile V1
"ti_w1002191.103" created on 3/11/10 at 12:10:20 AM on X-23A2
Diffraction element= Si (311).  Ring energy= 2.80 GeV
E0= 4966.00
NUM_REGIONS= 3
SRB= -30 -10 50 507
SRSS= 5 0.25 0.05k
SPP= 2 2 1k
Settling time= 0.20


Offsets= 121.60 84.20 92.40 0.00 0.00
Gains= 9.00 9.00 10.00 0.00 1.00
LaTiO2N yellow, precursor=La2TiO5
33% N2 in I0, N2 in It&Ir, Ti foil reference

--------------------------------------------------------------------------------
        Energy            I0            It            Ir         Iring       IntTime
    5249.27333    32752.4432     9926.9434     5680.2348   215993.0000        8.6230
    5252.56746    33119.3632    10094.7334     5822.6148   217231.0000        8.6730
    5255.88106    33470.2832    10251.5234     5956.9948   218456.0000        8.7230
    5259.21423    33827.2032    10414.3134     6093.3748   219689.0000        8.7730
    5262.56704    34180.1232    10580.1034     6215.7548   220917.0000        8.8230
    5265.93699    34524.0432    10741.8934     6349.1348   222156.0000        8.8730
    5269.32674    34882.9632    10911.6834     6461.5148   223384.0000        8.9230
    5272.73638    35274.8832    11109.4734     6596.8948   224613.0000        8.9730
    5276.16339    35718.8032    11311.2634     6735.2748   225839.0000        9.0230
    5279.61045    36161.7232    11512.0534     6864.6548   227072.0000        9.0730
    5283.07764    36629.6432    11738.8434     7012.0348   228298.0000        9.1230
    5286.56242    37118.5632    11974.6334     7171.4148   229532.0000        9.1730
    5290.06749    37571.4832    12195.4234     7328.7948   230754.0000        9.2230
    5293.59032    38017.4032    12410.2134     7497.1748   231987.0000        9.2730
    5297.13360    38442.3232    12625.0034     7660.5548   233211.0000        9.3230
    5300.69478    38843.2432    12830.7934     7834.9348   234448.0000        9.3730
    5304.27393    39258.1632    13051.5834     8006.3148   235675.0000        9.4230
    5307.87378    39687.0832    13276.3734     8185.6948   236899.0000        9.4730
